symbol,date,open,high,low,close,volume
vno,2016-12-19,103.89,104.79,103.51,103.91,1123277
nbl,2014-09-17,71.5,71.63,70.58,71.17,1955639
flr,2016-01-04,46.53,47.76,46.26,47.71,1645312
whr,2015-11-12,157.16,157.16,155.1,155.5,800809
dri,2016-01-06,62.83,63.605,62.56,62.92,2001050
oxy,2014-03-24,94.39,94.61,93.2728,93.87,4385976
hog,2016-12-23,57.96,58.25,57.63,58.18,1019398
bdx,2017-04-06,183.08,183.8,182.34,183.4,713464
nbl,2014-03-19,67.34,67.38,65.7,65.96,2064336
ffiv,2017-11-02,119.52,121.66,119.51,121.01,954261
dva,2017-06-26,63.86,64.89,63.77,64.45,1149985
aapl,2016-03-07,102.39,102.83,100.96,101.87,35915810
uri,2014-11-11,114.0,115.225,112.67,113.98,975022
dri,2015-09-24,70.78,71.67,69.94,71.46,1673959
ice,2015-09-11,46.978,47.276,46.534,47.246,3659125
fe,2016-10-03,33.07,33.07,32.23,32.3,4786749
avb,2015-08-21,176.91,177.76,173.44,173.44,872546
exc,2015-06-29,32.08,32.42,31.79,31.8,4868190
nfx,2017-04-04,36.83,37.15,36.32,37.14,2129898
sjm,2015-08-18,109.02,110.13,108.63,108.97,650689
hrb,2016-09-29,22.87,23.04,22.58,22.65,1498012
gpc,2017-05-12,91.6,91.764,91.01,91.44,516035
tap,2015-09-18,81.52,84.52,81.52,84.38,7130496
sig,2014-02-06,76.84,78.51,75.92,78.44,1066911
aep,2016-02-01,61.0,62.56,60.82,61.79,5033460
hrb,2015-10-05,36.73,36.82,35.75,35.94,13012382
cci,2015-03-02,86.6,87.51,86.15,86.39,3098180
duk,2015-10-06,72.99,73.44,72.34,73.09,4497806
bhf,2017-08-04,64.94,65.05,64.44,64.57,335368
sre,2016-03-04,98.42,98.86,97.31,97.86,1105964
cern,2014-11-26,63.36,64.03,63.07,63.7,1306600
cog,2016-02-05,20.79,21.12,20.07,20.66,8257910
luv,2015-06-12,34.54,35.29,34.36,35.0,9808044
amgn,2017-08-03,173.5201,174.71,173.26,174.18,1725912
apa,2017-04-13,53.62,54.29,52.21,52.37,4445383
irm,2016-10-07,34.04,34.47,33.37,33.57,1852054
hrb,2017-07-07,31.37,31.475,30.93,31.37,2886717
mlm,2014-02-05,104.96,107.14,104.76,106.42,535425
tmo,2016-11-01,148.0,148.0022,144.34,146.02,1900589
spg,2015-03-23,197.32,199.09,195.83,197.54,2100886
kim,2016-05-05,28.94,29.32,28.73,29.21,3808383
dfs,2015-11-05,56.42,56.93,56.335,56.91,2826650
tpr,2017-01-09,35.58,35.6,34.89,34.99,2857814
txn,2016-11-25,73.87,74.61,73.73,74.43,1978800
vtr,2016-12-23,61.29,61.52,60.41,60.86,1035070
regn,2016-02-02,412.68,415.63,402.23,409.89,887522
abbv,2017-08-10,72.01,72.19,70.39,70.44,5940330
mmm,2017-10-19,218.49,219.25,217.47,219.24,1369000
zbh,2017-11-06,109.32,110.515,108.95,109.34,2515318
cma,2015-08-03,47.52,47.6,46.58,46.99,2030480
mat,2014-03-03,37.46,37.5,36.84,36.9,3459359
cof,2016-05-18,68.83,71.01,68.66,70.98,4339188
arnc,2017-05-09,27.1,27.39,27.01,27.26,2110121
clx,2017-01-25,121.6,121.7,120.58,121.47,814489
foxa,2014-04-25,32.69,32.84,32.525,32.64,11021878
mdt,2015-01-23,75.85,77.39,75.47,76.95,23255346
eix,2015-01-23,68.4,68.69,68.1,68.39,1224729
t,2017-01-20,41.33,41.87,41.29,41.45,25164892
sig,2015-11-20,140.86,141.94,137.14,137.6,1783567
slb,2016-08-09,83.03,83.04,81.48,81.83,4143756
pfg,2015-09-09,49.2,50.0,47.67,47.78,1817243
adm,2015-10-29,46.64,46.725,45.46,45.53,4298102
dvn,2017-04-25,39.81,40.68,39.66,40.59,3726799
k,2017-07-10,66.54,66.69,65.78,65.87,2589777
swk,2014-03-19,80.59,80.71,79.05,79.54,1079329
d,2016-07-28,76.52,77.17,76.25,76.94,2360795
abbv,2014-05-09,52.07,52.345,51.08,52.26,5012523
rf,2017-08-02,14.7,14.85,14.64,14.83,13688191
chtr,2016-08-18,257.35,258.88,253.415,254.83,1700659
ctas,2017-02-08,114.53,114.94,113.79,114.35,427150
dhi,2017-10-06,40.71,41.3,40.645,41.08,4131668
stt,2017-06-16,89.02,89.07,87.94,88.25,3223733
oke,2014-08-19,66.49,67.24,66.4301,67.2,755702
ea,2017-08-23,118.65,119.37,117.55,118.18,1297809
intc,2016-12-14,36.7,36.89,36.46,36.55,30819365
dps,2017-07-28,91.91,92.05,90.37,90.84,1498050
info,2017-01-26,39.67,39.98,39.38,39.46,2331276
ice,2016-12-01,55.5,56.4,55.38,56.35,4136041
dish,2017-01-18,61.88,62.49,61.08,61.35,1346239
iff,2017-07-10,131.83,132.51,131.13,131.69,325684
dov,2016-06-24,68.81,69.35,67.28,67.46,1630301
mos,2014-05-08,48.51,49.1,48.43,48.6,1610137
coo,2015-10-15,140.33,145.36,139.67,145.23,825882
qcom,2017-06-02,58.89,58.96,58.35,58.58,9538011
disca,2017-07-25,26.49,26.64,25.6192,25.93,7499245
wdc,2014-02-27,88.9,89.2,87.53,88.42,1710466
rok,2016-01-15,89.9,92.42,89.48,91.68,1537660
gps,2014-08-27,46.44,46.56,46.05,46.18,2439236
stz,2016-03-28,150.52,151.45,149.17,149.41,1051470
iqv,2014-02-24,54.0,54.0,53.0,53.63,414587
rmd,2017-05-31,70.31,71.3,70.0,71.1,852169
snps,2017-11-08,86.89,87.24,86.8,87.07,902251
